match_id,batter,runs_scored,balls_faced,date,venue,season,bowling_team,avg_runs_last5,career_avg,past_strike_rate,venue_avg,vs_team_avg,consistency,last3_avg,last10_avg,form_trend,matches_played
548346,A Ashish Reddy,10,10,2012-04-29,Wankhede Stadium,2012,Mumbai Indians,11.66590909090909,9.496067992308845,127.1365982801211,7.751190476190477,9.383333333333333,6.245008450244236,,,0.0,0
548352,A Ashish Reddy,3,3,2012-05-04,"MA Chidambaram Stadium, Chepauk",2012,Chennai Super Kings,10.0,10.0,100.0,7.751190476190477,9.383333333333333,6.245008450244236,10.0,10.0,0.0,1
548359,A Ashish Reddy,8,8,2012-05-08,"Rajiv Gandhi International Stadium, Uppal",2012,Kings XI Punjab,6.5,6.5,100.0,7.751190476190477,9.383333333333333,4.949747468305833,6.5,6.5,0.0,2
548373,A Ashish Reddy,10,4,2012-05-18,"Rajiv Gandhi International Stadium, Uppal",2012,Rajasthan Royals,7.0,7.0,100.0,8.0,9.383333333333333,3.605551275463989,7.0,7.0,0.0,3
548376,A Ashish Reddy,4,5,2012-05-20,"Rajiv Gandhi International Stadium, Uppal",2012,Royal Challengers Bangalore,7.75,7.75,124.0,9.0,9.383333333333333,3.304037933599835,7.0,7.75,-0.75,4
598000,A Ashish Reddy,7,4,2013-04-05,"Rajiv Gandhi International Stadium, Uppal",2013,Pune Warriors,7.0,7.0,116.66666666666667,7.333333333333333,9.383333333333333,3.3166247903554,7.333333333333333,7.0,0.33333333333333304,5
598004,A Ashish Reddy,14,12,2013-04-07,"Rajiv Gandhi International Stadium, Uppal",2013,Royal Challengers Bangalore,6.4,7.0,123.52941176470587,7.25,4.0,2.9664793948382653,7.0,7.0,0.0,6
598048,A Ashish Reddy,3,4,2013-04-09,M Chinnaswamy Stadium,2013,Royal Challengers Bangalore,8.6,8.0,121.73913043478262,7.751190476190477,9.0,3.7859388972001824,8.333333333333334,8.0,0.3333333333333339,7
598010,A Ashish Reddy,16,9,2013-04-12,Feroz Shah Kotla,2013,Delhi Daredevils,7.6,7.375,118.0,7.751190476190477,9.383333333333333,3.9256482631170977,8.0,7.375,0.625,8
598013,A Ashish Reddy,4,5,2013-04-14,Eden Gardens,2013,Kolkata Knight Riders,8.8,8.333333333333334,127.11864406779662,7.751190476190477,9.383333333333333,4.663689526544408,11.0,8.333333333333334,2.666666666666666,9
598018,A Ashish Reddy,19,15,2013-04-17,Maharashtra Cricket Association Stadium,2013,Pune Warriors,8.8,7.9,123.4375,7.751190476190477,7.0,4.605552204797066,7.666666666666667,7.9,-0.2333333333333334,10
598021,A Ashish Reddy,7,7,2013-04-19,"Rajiv Gandhi International Stadium, Uppal",2013,Kings XI Punjab,11.2,8.909090909090908,124.0506329113924,8.6,8.0,5.503717751748275,13.0,8.8,4.199999999999999,11
598030,A Ashish Reddy,36,16,2013-04-25,"MA Chidambaram Stadium, Chepauk",2013,Chennai Super Kings,9.8,8.75,122.09302325581395,3.0,3.0,5.276448530110863,10.0,9.2,0.8000000000000007,12
598032,A Ashish Reddy,14,11,2013-04-27,Sawai Mansingh Stadium,2013,Rajasthan Royals,16.4,10.846153846153847,138.23529411764707,7.751190476190477,10.0,9.090710953551742,20.666666666666668,12.0,8.666666666666668,13
598044,A Ashish Reddy,5,7,2013-05-04,"Rajiv Gandhi International Stadium, Uppal",2013,Delhi Daredevils,16.0,11.071428571428571,137.16814159292034,8.333333333333334,16.0,8.774651303300063,19.0,12.4,6.6,14
829727,A Ashish Reddy,13,9,2015-04-16,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015,Rajasthan Royals,16.2,10.666666666666666,133.33333333333331,7.751190476190477,12.0,8.599557020706412,18.333333333333332,12.5,5.833333333333332,15
829731,A Ashish Reddy,15,8,2015-04-18,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015,Delhi Daredevils,15.0,10.8125,134.10852713178295,13.0,10.5,8.328415215393623,10.666666666666666,13.1,-2.4333333333333336,16
829759,A Ashish Reddy,22,8,2015-04-27,"Punjab Cricket Association Stadium, Mohali",2015,Kings XI Punjab,16.6,11.058823529411764,137.22627737226279,7.751190476190477,7.5,8.127657936294549,11.0,13.2,-2.1999999999999993,17
829773,A Ashish Reddy,6,6,2015-05-02,"Rajiv Gandhi International Stadium, Uppal",2015,Chennai Super Kings,13.8,11.666666666666666,144.82758620689654,7.857142857142857,19.5,8.295994781324582,16.666666666666668,15.1,1.5666666666666682,18
829815,A Ashish Reddy,17,15,2015-05-17,"Rajiv Gandhi International Stadium, Uppal",2015,Mumbai Indians,12.2,11.368421052631579,143.04635761589404,7.625,10.0,8.166398133787757,14.333333333333334,14.1,0.23333333333333428,19
980907,A Ashish Reddy,32,18,2016-04-12,M Chinnaswamy Stadium,2016,Royal Challengers Bangalore,14.6,11.65,140.36144578313252,3.0,7.0,8.047719520068043,15.0,15.4,-0.40000000000000036,20
980915,A Ashish Reddy,13,9,2016-04-16,"Rajiv Gandhi International Stadium, Uppal",2016,Kolkata Knight Riders,18.4,12.619047619047619,144.02173913043475,8.666666666666666,4.0,9.013746116217112,18.333333333333332,16.7,1.6333333333333329,21
980953,A Ashish Reddy,2,3,2016-04-30,"Rajiv Gandhi International Stadium, Uppal",2016,Royal Challengers Bangalore,18.0,12.636363636363637,144.04145077720207,9.1,13.25,8.796890438403867,20.666666666666668,17.3,3.366666666666667,22
1304050,A Badoni,54,42,2022-03-28,"Wankhede Stadium, Mumbai",2022,Gujarat Titans,19.101960784313725,19.253548671182667,123.4081092580456,19.024404761904762,15.993333333333332,16.13233185523769,,,0.0,0
1304053,A Badoni,19,14,2022-03-31,"Brabourne Stadium, Mumbai",2022,Chennai Super Kings,54.0,54.0,128.57142857142858,19.024404761904762,15.993333333333332,16.13233185523769,54.0,54.0,0.0,1
1304058,A Badoni,19,13,2022-04-04,"Dr DY Patil Sports Academy, Mumbai",2022,Sunrisers Hyderabad,36.5,36.5,130.35714285714286,19.024404761904762,15.993333333333332,24.748737341529164,36.5,36.5,0.0,2
1304061,A Badoni,10,3,2022-04-07,"Dr DY Patil Sports Academy, Mumbai",2022,Delhi Capitals,30.666666666666668,30.666666666666668,133.33333333333334,19.0,15.993333333333332,20.207259421636902,30.666666666666668,30.666666666666668,0.0,3
1304066,A Badoni,5,7,2022-04-10,"Wankhede Stadium, Mumbai",2022,Rajasthan Royals,25.5,25.5,141.66666666666669,54.0,15.993333333333332,19.467922333931785,16.0,25.5,-9.5,4
1304077,A Badoni,13,13,2022-04-19,"Dr DY Patil Sports Academy, Mumbai",2022,Royal Challengers Bangalore,21.4,21.4,135.44303797468353,14.5,15.993333333333332,19.191143790821847,11.333333333333334,21.4,-10.066666666666665,5
1304083,A Badoni,14,11,2022-04-24,"Wankhede Stadium, Mumbai",2022,Mumbai Indians,13.2,20.0,130.43478260869566,29.5,15.993333333333332,17.504285189632853,9.333333333333334,20.0,-10.666666666666666,6
1304088,A Badoni,4,4,2022-04-29,"Maharashtra Cricket Association Stadium, Pune",2022,Punjab Kings,12.2,19.142857142857142,130.0970873786408,19.024404761904762,15.993333333333332,16.13927478160622,10.666666666666666,19.142857142857142,-8.476190476190476,7
1304099,A Badoni,15,19,2022-05-07,"Maharashtra Cricket Association Stadium, Pune",2022,Kolkata Knight Riders,9.2,17.25,128.97196261682242,4.0,15.993333333333332,15.872257918411337,10.333333333333334,17.25,-6.916666666666666,8
1304103,A Badoni,8,12,2022-05-10,"Maharashtra Cricket Association Stadium, Pune",2022,Gujarat Titans,10.2,17.0,121.42857142857142,9.5,54.0,14.866068747318506,11.0,17.0,-6.0,9
1304109,A Badoni,0,1,2022-05-15,"Brabourne Stadium, Mumbai",2022,Rajasthan Royals,10.8,16.1,116.66666666666667,19.0,5.0,14.301903525211056,9.0,16.1,-7.100000000000001,10
1359477,A Badoni,18,9,2023-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Delhi Capitals,8.2,14.636363636363637,115.8273381294964,19.024404761904762,10.0,14.410223643460412,7.666666666666667,10.7,-3.0333333333333323,11
1359480,A Badoni,23,19,2023-04-03,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Chennai Super Kings,9.0,14.916666666666666,120.94594594594594,19.024404761904762,19.0,13.77387733972163,8.666666666666666,10.6,-1.9333333333333336,12
1359489,A Badoni,30,29,2023-04-10,"M Chinnaswamy Stadium, Bengaluru",2023,Royal Challengers Bangalore,12.8,15.538461538461538,120.95808383233533,19.024404761904762,13.0,13.37669232044669,13.666666666666666,11.0,2.666666666666666,13
1359495,A Badoni,5,7,2023-04-15,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Punjab Kings,15.8,16.571428571428573,118.36734693877553,18.0,4.0,13.420502602730275,23.666666666666668,13.0,10.666666666666668,14
1359500,A Badoni,1,4,2023-04-19,"Sawai Mansingh Stadium, Jaipur",2023,Rajasthan Royals,15.2,15.8,116.7487684729064,19.024404761904762,2.5,13.272958546286075,19.333333333333332,13.0,6.333333333333332,15
1359504,A Badoni,8,6,2023-04-22,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Gujarat Titans,15.4,14.875,114.97584541062803,11.5,31.0,13.346035616117119,12.0,11.8,0.1999999999999993,16
1359512,A Badoni,43,25,2023-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023,Punjab Kings,13.4,14.470588235294118,115.49295774647888,19.024404761904762,4.5,13.0293785685409,4.666666666666667,11.2,-6.533333333333332,17
1359517,A Badoni,4,11,2023-05-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Royal Challengers Bangalore,17.4,16.055555555555557,121.42857142857144,10.333333333333334,21.5,14.317706940224184,17.333333333333332,15.1,2.2333333333333325,18
1359519,A Badoni,59,35,2023-05-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Chennai Super Kings,12.2,15.421052631578947,117.67068273092369,8.75,21.0,14.186518598356697,18.333333333333332,14.0,4.333333333333332,19
1359525,A Badoni,21,12,2023-05-07,"Narendra Modi Stadium, Ahmedabad",2023,Gujarat Titans,23.0,17.6,123.943661971831,19.024404761904762,23.333333333333332,16.90032699777075,35.333333333333336,19.1,16.233333333333334,20
1359542,A Badoni,25,22,2023-05-20,"Eden Gardens, Kolkata",2023,Kolkata Knight Riders,27.0,17.761904761904763,126.01351351351353,19.024404761904762,15.0,16.48910173995164,28.0,21.2,6.800000000000001,21
1370351,A Badoni,1,7,2023-05-24,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Mumbai Indians,30.4,18.09090909090909,125.1572327044025,23.0,14.0,16.165539747397094,35.0,21.9,13.100000000000001,22
1422122,A Badoni,1,5,2024-03-24,"Sawai Mansingh Stadium, Jaipur",2024,Rajasthan Royals,22.0,17.347826086956523,122.76923076923079,1.0,2.0,16.19093095097649,15.666666666666666,19.7,-4.033333333333333,23
1422129,A Badoni,8,10,2024-03-30,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Punjab Kings,21.4,16.666666666666668,121.21212121212122,18.8,17.333333333333332,16.182832198691752,9.0,16.8,-7.800000000000001,24
1422133,A Badoni,0,3,2024-04-02,"M Chinnaswamy Stadium, Bengaluru",2024,Royal Challengers Bengaluru,11.2,16.32,120.0,30.0,15.993333333333332,15.936645401924041,3.3333333333333335,17.1,-13.766666666666667,25
1422139,A Badoni,20,12,2024-04-07,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Gujarat Titans,7.0,15.692307692307692,118.95043731778425,17.0,22.75,15.939307966832764,3.0,17.0,-14.0,26
1426264,A Badoni,55,38,2024-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Delhi Capitals,6.0,15.851851851851851,120.56338028169013,17.428571428571427,14.0,15.651747761103485,9.333333333333334,18.2,-8.866666666666665,27
1426266,A Badoni,29,27,2024-04-14,"Eden Gardens, Kolkata",2024,Kolkata Knight Riders,16.8,17.25,122.90076335877862,25.0,20.0,17.048134469462894,25.0,19.4,5.600000000000001,28
1426282,A Badoni,18,15,2024-04-27,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Rajasthan Royals,22.4,17.655172413793103,121.90476190476191,22.125,1.75,16.882526601000738,34.666666666666664,21.9,12.766666666666666,29
1426286,A Badoni,6,6,2024-04-30,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Mumbai Indians,24.4,17.666666666666668,121.83908045977012,21.666666666666668,7.5,16.589014506559774,34.0,17.8,16.2,30
1426292,A Badoni,15,13,2024-05-05,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Kolkata Knight Riders,25.6,17.29032258064516,121.54195011337868,20.1,23.0,16.4442361703366,17.666666666666668,16.3,1.3666666666666671,31
1426295,A Badoni,55,32,2024-05-08,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024,Sunrisers Hyderabad,24.6,17.21875,121.36563876651982,19.024404761904762,19.0,16.181898239859294,13.0,15.3,-2.3000000000000007,32
1426302,A Badoni,6,9,2024-05-14,"Arun Jaitley Stadium, Delhi",2024,Delhi Capitals,24.6,18.363636363636363,124.69135802469135,19.024404761904762,27.666666666666668,17.231544804910452,25.333333333333332,20.7,4.633333333333333,33
1426305,A Badoni,22,10,2024-05-17,"Wankhede Stadium, Mumbai",2024,Mumbai Indians,20.0,18.0,123.63636363636363,24.333333333333332,7.0,17.10041644008246,25.333333333333332,21.2,4.133333333333333,34
548373,A Chandila,0,1,2012-05-18,"Rajiv Gandhi International Stadium, Uppal",2012,Deccan Chargers,0.0,0.0,0.0,21.063247889500488,20.387093301613675,17.811671632926874,,,0.0,0
598023,A Chandila,4,6,2013-04-20,M Chinnaswamy Stadium,2013,Royal Challengers Bangalore,0.0,0.0,0.0,21.063247889500488,20.387093301613675,17.811671632926874,0.0,0.0,0.0,1
336010,A Chopra,2,5,2008-05-08,Eden Gardens,2007/08,Royal Challengers Bangalore,9.28,9.28,72.24067599067601,4.75,24.0,11.843143112573475,,,0.0,0
336014,A Chopra,24,25,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",2007/08,Deccan Chargers,2.0,2.0,40.0,4.75,24.0,11.843143112573475,2.0,2.0,0.0,1
336017,A Chopra,13,18,2008-05-13,Eden Gardens,2007/08,Delhi Daredevils,13.0,13.0,86.66666666666667,2.0,24.0,15.556349186104045,13.0,13.0,0.0,2
336021,A Chopra,1,4,2008-05-16,Wankhede Stadium,2007/08,Mumbai Indians,13.0,13.0,81.25,4.75,24.0,11.0,13.0,13.0,0.0,3
336035,A Chopra,2,3,2008-05-25,Eden Gardens,2007/08,Kings XI Punjab,10.0,10.0,76.92307692307693,7.5,24.0,10.801234497346433,12.666666666666666,10.0,2.666666666666666,4
392184,A Chopra,11,20,2009-04-19,Newlands,2009,Deccan Chargers,8.4,8.4,76.36363636363637,4.75,24.0,10.014988766843425,5.333333333333333,8.4,-3.0666666666666673,5
1082591,A Choudhary,6,2,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",2017,Sunrisers Hyderabad,8.25,8.25,225.0,15.0,20.387093301613675,6.363961030678928,,,0.0,0
1082621,A Choudhary,15,12,2017-04-27,M Chinnaswamy Stadium,2017,Gujarat Lions,6.0,6.0,300.0,15.0,20.387093301613675,6.363961030678928,6.0,6.0,0.0,1
1082633,A Choudhary,4,6,2017-05-05,M Chinnaswamy Stadium,2017,Kings XI Punjab,10.5,10.5,150.0,15.0,20.387093301613675,6.363961030678928,10.5,10.5,0.0,2
1136569,A Dananjaya,4,5,2018-04-14,Wankhede Stadium,2018,Delhi Daredevils,20.259547003421048,19.929601971059718,122.75554891443085,21.063247889500488,20.387093301613675,17.811671632926874,,,0.0,0
392181,A Flintoff,24,25,2009-04-18,Newlands,2009,Mumbai Indians,23.5,23.5,106.97435897435898,21.063247889500488,20.387093301613675,1.4142135623730951,,,0.0,0
